url_name,zh_name,platinum,platinum,platinum
galvanized_shot,镀层 准确射手,,,
ghoulsaw_blueprint,尸鬼电锯 蓝图,,,
hikou_prime_pouch,飞扬 Prime 镖袋,,,
proof_fragment,数学证明片段,,,
reaper_prime_blade,收割者 Prime 刀刃,,,
recrystalize,多重结晶,,,
rift_haven,裂隙避难所,,,
sheev_hilt,希芙 握柄,,,
sicarus_prime_receiver,暗杀者 Prime 枪机,,,
soma_prime_barrel,月神 Prime 枪管,,,
strun_wraith_barrel,斯特朗·亡魂 枪管,,,
targeting_receptor,目标感应,,,
velox_set,逐电 一套,,,
air_time,乘空时间,,,
arbiters_of_hexis_augment_mod,均衡仲裁者强化Mod,,,
arcane_pistoleer,赋能·枪炮,,,
basmu_blueprint,巴什穆 蓝图,,,
celestial_stomp,天圣践踏,,,
cinta_string_blueprint,遂心 弓弦 蓝图,,,
disarming_purity,缴械纯净,,,
galvanized_aptitude,镀层 步枪才能,,,
galvanized_diffusion,镀层 弹头扩散,,,
infiltrate,渗透,,,
ironclad_flight,铁甲翱翔,,,
khra,Khra,,,
neutralizing_justice,抵消正义,,,
odonata_prime_harness_blueprint,陨蜓 Prime 外甲 蓝图,,,
parallax_set,星察 一套,,,
rejuvenation,返老还童,,,
stinging_thorn,螫刺狂棘,,,
surging_dash,涌流突进,,,
wild_frenzy,猛烈发狂,,,
winds_of_purity,纯净之风,,,
antimatter_absorb,反物质吸收,,,
directed_convergence,定向汇聚,,,
efficient_beams,高效光束,,,
galvanized_crosshairs,镀层 液压准心,,,
galvanized_hell,镀层 地狱弹膛,,,
imperator_vandal_barrel,凯旋将军·破坏者 枪管,,,
limbo_prime_neuroptics_blueprint,Limbo Prime 头部神经光元 蓝图,,,
magus_glitch,魔导·干扰,,,
neutron_star,中子星爆,,,
phantasma_prime_stock,幻离子 Prime 枪托,,,
pistol_scavenger,手枪弹药搜集者,,,
rubble_heap,碎石堆叠,,,
shield_disruption,护盾瓦解,,,
