url_name,zh_name,platinum,platinum,platinum
venerdo_hoverdrive,启明物悬浮驱动,,,
vermillion_storm,朱红暴风,,,
voidrig_capsule,虚空锐将 机舱,,,
voidrig_casing,虚空锐将 外壳,,,
volnus_prime_handle,创伤 Prime 握柄,,,
zakti_prime_blueprint,毒芽 Prime 蓝图,,,
boar_prime_blueprint,野猪 Prime 蓝图,,,
cedo_set,塞多 一套,,,
grendel_prime_systems_blueprint,Grendel Prime 系统 蓝图,,,
hydroid_prime_neuroptics_blueprint,Hydroid Prime 头部神经光元 蓝图,,,
latron_prime_stock,拉特昂 Prime 枪托,,,
nautilus_blueprint,鹦鹉螺 蓝图,,,
oull,Oull,,,
pandero_prime_receiver,手鼓 Prime 枪机,,,
pop_top,瞬满,,,
quick_escape,迅逃夭,,,
reinforced_bond,强固连结,,,
snipetron_vandal_barrel,狙击特昂·破坏者 枪管,,,
soma_prime_receiver,月神 Prime 枪机,,,
spectra_vandal_barrel,光谱切割器·破坏者 枪管,,,
tek_assault,技法 猛袭,,,
tigris_prime_blueprint,猛虎 Prime 蓝图,,,
voidrig_engine,虚空锐将 引擎,,,
wyrm_prime_carapace,蛟龙 Prime 外壳,,,
aerial_bond,空中连结,,,
akmagnus_prime_link,麦格努斯双枪 Prime 连接器,,,
athodai_barrel,阿索代 枪管,,,
frost_prime_chassis_blueprint,Frost Prime 机体 蓝图,,,
grendel_chassis_locator,Grendel 机体定位装置,,,
grendel_systems_locator,Grendel 系统定位装置,,,
knell_prime_barrel,丧钟 Prime 枪管,,,
loot_detector,战利品探测器,,,
mag_prime_systems_blueprint,Mag Prime 系统 蓝图,,,
mesa_prime_systems_blueprint,Mesa Prime 系统 蓝图,,,
nezha_prime_neuroptics_blueprint,Nezha Prime 头部神经光元 蓝图,,,
pennant_blueprint,尖幡 蓝图,,,
saryn_prime_blueprint,Saryn Prime 蓝图,,,
tenora_prime_receiver,双簧管 Prime 枪机,,,
astral_bond,星界连结,,,
brief_respite,快速休整,,,
dera_vandal_stock,德拉·破坏者 枪托,,,
scimitar_set,Scimitar 一套,,,
secondary_outburst,次要·爆发,,,
ballistica_prime_blueprint,布里斯提卡 Prime 蓝图,,,
ember_prime_neuroptics_blueprint,Ember Prime 头部神经光元 蓝图,,,
enemy_radar,侦敌雷达,,,
fulmin_prime_set,雷霆 Prime 一套,,,
karak_wraith_barrel,卡拉克·亡魂 枪管,,,
loki_prime_neuroptics_blueprint,Loki Prime 头部神经光元 蓝图,,,
necramech_augur,殁世机甲 预言,,,
photon_repeater,光子续能器,,,
primo_flair,顶级花式,,,
shock_collar,电击项圈,,,
smite_corrupted,毁灭 Orokin,,,
strun_prime_blueprint,斯特朗 Prime 蓝图,,,
strun_wraith_stock,斯特朗·亡魂 枪托,,,
sudden_justice,骤然正义,,,
tidal_impunity,潮汐涌净,,,
athodai_receiver,阿索代 枪机,,,
bonewidow_capsule,骨骸寡妇 机舱,,,
cautious_shot,谨慎射击,,,
harrow_prime_systems_blueprint,Harrow Prime 系统 蓝图,,,
holster_amp,切换增幅,,,
hystrix_prime_set,豪猪 Prime 一套,,,
lethal_torrent,致命洪流,,,
melee_crescendo,近战·渐强,,,
panthera_prime_receiver,猎豹 Prime 枪机,,,
preparation,有备而来,,,
rauta_stock,锐铁 枪托,,,
speed_drift,速度窜升,,,
synth_deconstruct,合成 解构,,,
vauban_prime_blueprint,Vauban Prime 蓝图,,,
aerodynamic,空气动力,,,
archgun_riven_mod_(veiled),曲翼枪械裂罅 Mod （尚未揭开）,,,
critical_focus,关键焦点,,,
eidolon_unairu_lens,夜灵 Unairu 晶体,,,
gram_prime_handle,格拉姆 Prime 握柄,,,
larkspur_prime_set,翠雀 Prime 一套,,,
prolonged_paralysis,长时瘫痪,,,
ruinous_extension,毁灭扩展,,,
acceltra_prime_stock,迅发电浆炮 Prime 枪托,,,
akvasto_prime_link,瓦斯托双枪 Prime 连接器,,,
infectious_injection,传染性注射,,,
revenant_prime_blueprint,Revenant Prime 蓝图,,,
spectra_vandal_chassis,光谱切割器·破坏者 机体,,,
tenacious_bond,坚韧连结,,,
tiberon_prime_stock,狂鲨 Prime 枪托,,,
ash_prime_blueprint,Ash Prime 蓝图,,,
dakra_prime_blade,达克拉 Prime 刀刃,,,
guandao_prime_handle,关刀 Prime 握柄,,,
balefire_surge,野火涌流,,,
carmine_penta_receiver,嫣红·潘塔 枪机,,,
cedo_barrel,塞多 枪管,,,
concentrated_arrow,集中箭矢,,,
counter_pulse,反转脉冲,,,
dera_vandal_blueprint,德拉·破坏者 蓝图,,,
draining_gloom,幽暗枯竭,,,
khra_canticle,Khra 颂歌,,,
magus_vigor,魔导·活力,,,
nautilus_prime_cerebrum,鹦鹉螺 Prime 头部,,,
rifle_amp,步枪增幅,,,
sheev_blade,希芙 刀刃,,,
strain_fever,菌株 热毒,,,
survival_instinct,生存本能,,,
twin_vipers_wraith_blueprint,双子蝰蛇·亡魂 蓝图,,,
voltage_sequence,电压数列,,,
guardian_armor,庇佑护甲,,,
latron_prime_barrel,拉特昂 Prime 枪管,,,
necramech_intensify,殁世机甲 聚精会神,,,
panzer_devolution,铁甲回溯,,,
